Gender,Dob,PIN,Curr_res_yr,Curr_res,Rent,Deps,Marital,Qualification,Credit_score,Religion,Category,Res_stat,Occupation,Salaried,Emp_pin,Curr_emp_yr,Gross_monthly_in,Net_monthly_in,Avg_monthly_exp,Prop,Veh,FD,PPF,PF,Investments,SLIP,Amt,Tenor,Returned
2,1959,110081,13,0,14000,3,0,1,868,3,1,0,2,2,110061,13,137197,48009,26438,207457,187797,22166,21272,35086,197841,242600,2393187,15,1
0,1985,110044,47,1,13000,0,0,0,370,3,0,2,0,1,110081,47,51956,37100,32637,62357,227810,53662,19372,36960,228770,403925,4220929,4,1
0,1983,110002,60,2,18000,7,0,1,443,2,2,0,2,0,110018,60,64310,49226,59907,60499,35072,32154,58683,38730,109503,62933,1763096,8,1
1,1969,110010,26,3,8000,8,2,0,333,2,0,1,2,2,110055,26,68902,48046,46178,117695,90549,45714,26767,59526,202539,195340,4495063,8,0
1,1997,110036,9,3,23000,7,1,0,505,2,3,2,1,2,110084,9,229071,23350,45148,118631,120972,48852,46911,40498,147993,451381,2891825,10,1
1,1956,110054,44,1,21000,1,1,2,662,3,3,2,2,4,110037,44,54426,48586,44999,155499,175648,28977,31613,19603,231676,235695,1945508,24,0
1,1982,110085,10,3,8000,9,0,0,411,3,2,1,2,3,110060,10,27895,52500,14472,186095,239978,31218,19495,18240,247425,307370,4726859,15,0
1,1958,110093,17,0,0,8,1,1,707,1,0,1,0,2,110059,17,54387,32874,28808,176011,95552,15124,29932,22830,11942,302226,2101129,20,0
2,1988,110032,10,1,19000,2,2,1,717,3,0,1,1,4,110074,10,183877,34473,50181,248499,105124,43495,43769,11417,177123,223944,1003091,10,1
1,1994,110076,36,0,0,6,1,0,457,1,2,0,0,0,110024,36,100017,58260,53968,186198,89584,20165,38848,25963,123179,149484,2987347,4,1
2,1952,110077,20,3,10000,8,0,0,557,3,0,0,2,2,110007,20,108551,40071,52002,26521,177763,17488,30630,56250,191865,35668,3609891,8,0
1,1991,110021,30,0,9000,3,2,1,744,1,3,2,1,2,110070,30,144396,59271,17546,64035,172751,13083,24212,58872,167540,198221,2118262,20,0
